Num_Acc,senc,catv,occutc,obs,obsm,choc,manv,num_veh
200600019239,0,7,0,0,2,1,1,A01
200600000874,0,7,0,0,2,6,2,C01
200600030758,0,7,0,13,0,1,21,A01
200600072316,0,33,0,0,2,1,13,B02
200600074474,0,7,0,0,2,3,1,A01
200600016889,0,10,0,13,0,9,1,A01
200600056451,0,7,0,0,2,1,15,A01
200600038276,0,7,0,0,2,1,1,A01
200600060861,0,7,0,0,2,1,1,B01
200600033901,0,7,0,0,1,3,16,A01
200600025766,0,4,0,0,2,1,5,B01
200600065458,0,7,0,0,2,4,2,B01
200600031525,0,7,0,0,0,1,1,B02
200600025805,0,10,0,0,1,4,4,A01
200600006722,0,7,0,0,2,1,9,A01
200600072943,0,7,0,0,0,2,2,A01
200600030665,0,33,0,0,2,1,13,B02
200600060255,0,37,0,0,2,3,15,B01
200600007584,0,99,0,14,0,2,2,A01
200600006737,0,7,0,0,2,1,0,B02
200600074839,0,7,0,14,0,1,1,C03
200600074640,0,7,0,16,0,8,1,A01
200600071517,0,7,0,0,2,1,1,C03
200600031497,0,7,0,0,2,7,19,A01
200600066902,0,7,0,0,2,2,7,A01
200600072442,0,7,0,0,2,2,15,B02
200600018457,0,33,0,0,2,1,0,A01
200600061208,0,7,0,13,0,7,1,A01
200600059926,0,7,0,0,2,1,1,A01
200600028826,0,7,0,0,2,4,23,B01
200600039435,0,7,0,0,2,4,2,B01
200600066458,0,30,0,0,2,1,1,A01
200600019145,0,34,0,0,2,7,2,A01
200600043995,0,34,0,0,2,3,21,B02
200600008770,0,7,0,0,2,2,1,A01
200600064889,0,7,0,0,0,4,2,C01
200600074207,0,7,0,2,0,1,1,A01
200600070234,0,1,0,0,0,1,1,B01
200600039553,0,2,0,0,9,1,15,B01
200600016853,0,7,0,0,0,3,1,A01
200600000454,0,7,0,0,0,6,11,B01
200600026666,0,21,0,2,0,4,1,A01
200600045912,0,2,0,0,2,1,19,B02
200600056667,0,7,0,0,2,1,1,A01
200600040210,0,7,0,0,2,4,23,B01
200600056158,0,7,0,0,2,2,16,A01
200600002945,0,7,0,0,2,1,15,B01
200600069731,0,7,0,0,2,1,2,A01
200600019669,0,7,0,0,2,4,23,C01
200600075004,0,7,0,0,0,1,1,B02
200600079275,0,7,0,0,9,8,1,B01
200600078773,0,2,0,0,2,1,1,B01
200600008920,0,7,0,0,2,1,1,B01
200600045775,0,17,0,4,2,1,21,B02
200600037026,0,7,0,0,2,2,9,A01
200600012503,0,7,0,0,2,1,13,A01
200600021380,0,2,0,0,2,2,1,B01
200600066932,0,7,0,0,2,8,1,A01
200600079487,0,7,0,0,2,1,0,A01
200600003580,0,7,0,0,0,3,23,B01
200600013701,0,5,0,0,2,1,2,A01
200600004037,0,7,0,0,0,4,13,B01
200600014487,0,7,0,1,0,1,1,A01
200600051627,0,7,0,0,2,8,1,A01
200600009624,0,5,0,0,1,1,1,A01
200600066522,0,2,0,0,2,2,1,A01
200600073515,0,7,0,0,2,1,1,A01
200600033165,0,1,0,0,2,5,1,B01
200600045289,0,7,0,0,2,2,1,A01
200600010682,0,5,0,0,0,4,0,B01
200600035718,0,10,0,0,2,2,12,A01
200600071855,0,7,0,0,1,1,1,A01
200600078240,0,4,0,0,2,1,1,B01
200600074880,0,7,0,6,0,1,14,A01
200600027312,0,7,0,0,2,1,1,A01
200600011843,0,7,0,0,1,2,1,A01
200600082339,0,7,0,0,2,3,1,A01
200600082413,0,33,0,0,2,1,13,B02
200600076202,0,2,0,0,2,1,1,A01
200600025322,0,10,0,0,2,8,1,B01
200600040857,0,7,0,0,2,8,1,A01
200600026792,0,7,0,0,2,2,15,A01
200600011205,0,2,0,0,2,1,1,B01
200600018939,0,2,0,0,2,1,2,A01
200600067228,0,7,0,0,2,6,10,A01
200600044315,0,7,0,0,2,3,1,B02
200600046375,0,2,0,0,2,2,1,B02
200600037999,0,31,0,0,2,7,3,B01
200600068900,0,18,0,0,2,5,17,A01
200600012163,0,10,0,0,2,4,1,B01
200600002465,0,2,0,0,0,0,1,A01
200600070407,0,7,0,0,1,1,1,A01
200600012874,0,7,0,1,0,1,1,A01
200600072222,0,15,0,0,2,8,10,B02
200600075966,0,7,0,0,0,0,0,B01
200600016362,0,7,0,0,0,1,1,A01
200600036411,0,7,0,0,1,1,1,A01
200600045220,0,7,0,3,2,7,13,A01
200600054872,0,7,0,0,2,4,1,B01
200600069270,0,7,0,0,2,2,1,A01
200600076502,0,7,0,0,0,4,2,C01
200600033769,0,7,0,0,2,3,15,A01
200600034318,0,1,0,0,2,8,1,B01
200600017903,0,7,0,0,0,1,15,B02
200600041133,0,7,0,0,2,3,10,A01
200600074649,0,7,0,0,2,1,13,A01
200600033095,0,7,0,0,2,3,13,A01
200600031521,0,7,0,0,0,4,15,A01
200600052720,0,7,0,3,2,3,1,B02
200600066774,0,7,0,0,2,6,1,B01
200600012317,0,7,0,0,2,1,1,B01
200600016188,0,7,0,8,0,1,1,A01
200600057464,0,5,0,0,2,4,2,A01
200600062870,0,31,0,0,2,1,1,B01
200600066079,0,7,0,0,1,3,1,A01
200600052341,0,7,0,0,2,3,15,A01
200600054747,0,7,0,0,2,1,1,B01
200600071985,0,7,0,0,0,1,0,A01
200600051854,0,33,0,0,0,7,1,A01
200600032822,0,7,0,0,2,3,1,A01
200600056811,0,7,0,0,2,2,15,A01
200600069855,0,7,0,0,2,7,19,A01
200600056619,0,1,0,1,0,1,1,B01
200600000831,0,7,0,0,1,1,15,A01
200600028530,0,7,0,0,2,7,2,A01
200600081775,0,7,0,0,6,3,1,A01
200600053583,1,7,0,0,0,0,0,A01
200600034906,0,2,0,16,0,1,1,A01
200600081933,0,7,0,0,2,3,2,A01
200600062554,0,7,0,0,0,1,14,A01
200600070776,0,7,0,0,2,2,1,C01
200600039344,1,7,0,0,2,1,0,B01
200600079408,0,7,0,0,1,1,5,A01
200600017331,0,7,0,0,2,1,9,B02
200600003193,0,4,0,0,2,7,13,A01
200600022827,0,7,0,0,0,4,2,A01
200600008018,0,2,0,0,2,1,1,B01
200600011661,0,7,0,0,9,3,1,B01
200600051513,0,7,0,13,0,2,14,A01
200600075221,0,7,0,0,0,0,9,B01
200600070857,0,10,0,0,0,4,1,C01
200600005857,0,7,0,0,0,0,9,A01
200600064640,0,7,0,0,1,2,1,A01
200600069326,0,7,0,6,2,1,13,A01
200600010552,0,4,0,0,2,1,5,A01
200600063042,0,7,0,0,1,1,1,A01
200600040792,0,7,0,0,2,3,1,B01
200600013147,0,99,0,0,2,1,1,A01
200600046798,0,7,0,0,2,8,23,B02
200600047443,0,7,0,0,2,8,13,B01
200600004070,0,7,0,0,0,4,1,B01
200600017508,0,7,0,0,0,3,23,B02
200600042077,1,7,0,0,1,1,1,A01
200600059207,0,33,0,0,0,1,1,A01
200600016558,0,2,0,0,2,1,19,A01
200600001689,0,7,0,0,1,2,1,A01
200600015408,0,7,0,0,0,0,0,B02
200600011295,0,7,0,0,2,2,11,A01
200600016618,0,31,0,0,2,2,1,A01
200600012663,0,5,0,14,0,0,1,A01
200600040408,0,2,0,0,2,1,1,A01
200600053898,0,2,0,0,2,1,21,A01
200600065414,0,7,0,4,2,8,2,B01
200600056037,0,4,0,0,2,2,23,B01
200600008876,0,2,0,0,2,1,1,B01
200600012704,0,7,0,3,0,3,1,A01
200600025628,0,7,0,0,2,3,15,B01
200600051888,0,21,0,0,2,3,15,B02
200600000153,0,7,0,0,1,2,2,A01
200600019305,0,5,0,0,2,1,1,A01
200600027606,0,7,0,0,2,4,1,B01
200600064221,0,7,0,0,2,2,1,B01
200600060296,0,7,0,0,1,2,16,A01
200600044357,0,10,0,0,2,8,1,C03
200600019776,0,7,0,0,2,3,15,B01
200600078003,0,4,0,8,2,2,1,B01
200600051609,0,7,0,0,2,1,15,B02
200600044592,0,7,0,0,0,9,12,A01
200600010760,0,15,0,0,2,3,13,B01
200600061451,0,1,0,0,2,7,1,B01
200600020710,0,7,0,15,0,3,13,A01
200600072929,0,7,0,0,2,2,2,B02
200600067821,0,2,0,1,0,1,17,B01
200600021998,0,7,0,0,9,1,1,D01
200600006479,0,7,0,0,2,2,1,B02
200600016061,0,7,0,0,2,3,2,B02
200600028998,0,32,0,0,2,1,2,B01
200600063928,0,7,0,0,1,7,1,A01
200600054120,0,7,0,0,2,3,1,B01
200600068828,0,7,0,0,2,5,12,A01
200600047019,0,7,0,0,9,7,15,A01
200600009275,0,7,0,0,1,1,15,A01
200600013539,0,2,0,0,2,3,18,A01
200600010571,0,7,0,1,1,3,1,A01
200600053831,0,7,0,12,2,2,1,A01
200600007572,0,10,0,0,2,3,2,A01
200600012170,0,7,0,0,2,0,15,A01
200600068163,0,7,0,0,2,1,1,A01
200600070986,0,7,0,0,2,3,11,B01
200600082459,0,5,0,0,0,1,18,A01
200600040061,0,5,0,0,1,1,1,A01
200600078465,0,7,0,0,2,3,15,B01
200600043117,0,7,0,0,2,2,21,A01
200600053765,0,32,0,0,0,8,21,A01
200600061647,0,7,0,0,2,1,2,A01
200600026242,0,7,0,0,2,6,9,A01
200600043094,0,7,0,0,2,3,1,A01
200600042187,0,7,0,6,0,4,1,A01
200600035955,0,7,0,0,2,4,1,B01
200600001649,0,7,0,0,1,1,1,A01
200600079205,0,7,0,0,2,1,1,A01
200600066103,0,33,0,0,2,7,1,B01
200600083079,0,7,0,0,9,8,24,B01
200600026972,0,7,0,0,2,1,0,A01
200600074599,0,7,0,0,2,4,1,B02
200600066832,0,1,0,0,2,3,19,B01
200600012922,0,7,0,0,2,2,1,A01
200600083110,0,2,0,0,2,1,1,B01
200600076268,0,7,0,0,2,3,16,C01
200600057153,0,37,0,0,2,2,10,A01
200600036999,0,7,0,0,2,1,13,A01
200600061573,0,7,0,0,2,1,0,A01
200600030231,0,30,0,0,2,6,15,B02
200600059376,0,7,0,13,0,5,1,A01
200600001208,0,7,0,13,0,9,1,A01
200600005410,0,7,0,0,0,0,0,A01
200600080070,0,33,0,0,1,2,1,A01
200600026106,0,7,0,0,2,4,1,C01
200600020731,0,7,0,0,1,2,1,A01
200600060486,0,7,0,0,2,2,9,A01
200600055613,0,7,0,0,2,1,1,B01
200600037829,0,31,0,0,0,1,1,B01
200600001239,0,4,0,0,0,8,1,B01
200600053241,0,7,0,0,2,3,0,A01
200600001856,0,7,0,0,2,1,21,B01
200600066991,0,1,0,0,2,1,19,A01
200600070899,0,7,0,0,1,2,2,A01
200600001368,0,2,0,0,2,8,13,B01
200600000824,0,7,0,0,2,3,15,A01
200600060275,0,7,0,0,2,1,2,A01
200600075684,0,33,0,0,2,4,2,C01
200600060323,0,7,0,0,2,1,1,C01
200600007133,0,7,0,0,2,1,1,B02
200600044644,0,7,0,0,0,3,1,B02
200600067830,0,7,0,0,2,1,1,A01
200600005944,0,7,0,0,2,1,13,A01
200600019775,0,7,0,0,2,1,1,A01
200600004323,0,7,0,0,2,4,2,C01
200600027063,0,7,0,0,2,8,1,A01
200600058101,0,30,0,0,0,0,11,A01
200600068715,0,4,0,0,2,1,1,B01
200600080770,0,7,0,0,1,7,2,A01
200600074052,0,7,0,0,2,1,2,B02
200600011987,0,7,0,0,2,1,15,A01
200600013949,2,7,0,4,2,3,13,A01
200600023054,0,7,0,0,2,2,16,A01
200600006457,0,7,0,0,2,7,15,A01
200600063071,0,7,0,0,2,8,9,A01
200600012058,0,7,0,2,0,8,1,A01
200600052368,0,7,0,0,2,1,1,A01
200600009217,0,2,0,0,0,0,1,B01
200600042842,0,7,0,0,2,8,10,A01
200600015883,0,7,0,0,2,1,13,A01
200600001961,0,2,0,0,2,1,1,B01
200600012864,0,5,0,0,2,1,1,B01
200600053860,0,33,0,0,2,4,2,B01
200600047420,0,7,0,2,0,9,1,A01
200600014092,0,7,0,0,2,1,2,B01
200600057597,0,33,0,0,2,1,1,A01
200600035865,0,10,0,0,9,3,1,B01
200600064476,1,7,0,0,0,1,1,B01
200600068366,0,1,0,0,2,3,1,B01
200600026607,0,7,0,0,2,2,20,A01
200600032164,0,7,0,0,2,1,2,A01
200600006106,0,7,0,0,0,9,1,A01
200600021058,0,7,0,0,2,1,2,A01
200600059166,0,7,0,0,2,8,1,C03
200600045156,0,7,0,13,0,1,1,A01
200600043491,0,30,0,0,2,1,1,A01
200600051021,0,10,0,0,2,8,19,B02
200600059914,0,7,0,13,0,2,14,A01
200600050480,0,7,0,0,1,2,1,A01
200600023139,0,7,0,4,0,4,2,B01
200600063814,0,5,0,6,2,3,9,B01
200600024568,0,7,0,0,9,3,9,A01
200600062376,0,7,0,0,1,1,1,A01
200600025687,0,7,0,0,2,2,0,A01
200600058823,0,33,0,11,0,1,17,A01
200600066641,0,7,0,0,2,8,1,B01
200600052917,0,33,0,3,0,0,0,A01
200600036358,0,7,0,0,2,3,1,B01
200600036898,0,7,0,0,1,1,1,A01
200600010089,0,7,0,0,2,1,1,B01
200600049403,0,7,0,0,2,2,9,A01
200600012844,0,7,0,0,0,0,1,D01
200600019395,0,4,0,0,2,6,1,A01
200600007163,0,7,0,0,2,4,2,B02
200600025236,0,7,0,0,1,1,1,A01
200600026756,0,1,0,0,2,4,1,B01
200600064004,0,7,0,2,0,3,0,A01
200600010752,0,7,0,0,0,0,0,A01
200600036997,0,7,0,0,1,1,1,A01
200600041819,0,7,0,0,2,1,2,A01
200600002191,0,7,0,0,1,1,1,A01
200600025008,0,7,0,0,2,6,1,A01
200600038244,0,33,0,0,2,8,1,C01
200600045550,0,7,0,13,0,2,1,A01
200600057942,0,7,0,0,2,3,1,A01
200600000890,0,7,0,9,0,1,3,A01
200600047176,0,34,0,0,2,7,2,A01
200600058945,0,31,0,0,2,8,5,A01
200600005227,0,7,0,0,2,1,2,A01
200600039886,0,7,0,0,1,1,1,A01
200600054225,0,2,0,0,2,7,1,B01
200600017239,0,7,0,0,1,1,1,A01
200600054664,0,7,0,1,0,1,14,A01
200600022739,0,7,0,0,2,3,15,B01
200600071833,0,33,0,0,0,1,1,A01
200600053581,0,7,0,0,1,1,1,A01
200600054019,0,30,0,0,2,1,1,A01
200600071892,0,7,0,2,0,2,1,A01
200600083112,0,7,0,0,1,4,1,B01
200600022770,0,7,0,0,1,4,4,A01
200600055359,0,7,0,0,0,4,2,B01
200600052525,0,7,0,3,0,9,1,A01
200600073452,0,7,0,0,2,1,1,B02
200600019455,0,7,0,0,2,4,2,B01
200600082508,0,7,0,0,2,8,14,A01
200600028444,0,7,0,0,2,1,1,B01
200600026489,0,7,0,0,0,4,0,B01
200600005223,0,7,0,0,2,1,1,A01
200600069893,0,7,0,0,2,1,1,A01
200600040781,0,7,0,0,2,1,1,B01
200600014248,0,7,0,0,2,8,22,A01
200600022266,0,18,0,0,1,3,21,A01
200600066352,0,5,0,0,2,1,1,B01
200600046321,0,30,0,3,0,2,1,A01
200600020486,0,5,0,0,2,2,17,B01
200600015074,0,7,0,0,0,4,0,B01
200600036479,0,7,0,0,2,8,1,A01
200600041277,0,7,0,0,2,5,15,A01
200600049090,0,7,0,0,2,5,16,A01
200600076517,0,7,0,0,0,0,0,C01
200600061963,0,7,0,0,2,1,15,A01
200600013731,0,7,0,0,2,2,15,A01
200600053215,0,32,0,0,2,8,0,B01
200600000303,0,5,0,0,2,6,1,B01
200600004064,0,7,0,0,2,1,2,B01
200600083474,0,7,0,0,2,1,17,A01
200600052742,0,7,0,13,0,2,0,A01
200600041005,0,2,0,0,2,2,19,A01
200600061850,1,30,0,0,2,0,9,A01
200600054729,0,1,0,0,2,3,1,B01
200600023553,0,33,0,0,2,1,1,B02
200600009097,0,1,0,0,2,7,1,B01
200600000317,0,7,0,0,2,3,13,A01
200600008754,0,7,0,0,2,1,17,C01
200600060870,0,21,0,0,2,2,1,A01
200600064433,0,33,0,0,2,7,1,B01
200600014560,0,7,0,0,2,3,0,A01
200600031442,0,33,0,0,0,8,1,A01
200600000118,0,7,0,0,2,1,2,A01
200600037398,0,5,0,0,2,7,1,A01
200600071920,0,7,0,0,2,1,1,B02
200600013637,0,5,0,1,0,1,1,A01
200600039592,0,2,0,0,2,4,1,B01
200600082179,0,2,0,0,1,1,0,A01
200600017940,0,7,0,0,2,1,1,A01
200600052501,0,7,0,8,0,1,13,A01
200600025058,0,7,0,2,0,1,14,A01
200600027552,0,7,0,0,2,1,15,B01
200600049009,0,2,0,0,0,1,1,B01
200600067454,0,7,0,0,1,1,1,A01
200600055969,0,7,0,0,2,2,9,A01
200600057185,0,7,0,0,2,8,10,A01
200600027555,0,7,0,0,2,1,15,A01
200600027159,0,7,0,0,2,3,1,B01
200600072632,0,7,0,0,2,3,1,B02
200600019138,0,34,0,0,2,1,17,A01
200600011123,0,7,0,0,2,3,9,A01
200600070318,2,7,0,0,2,8,10,A01
200600028454,0,7,0,0,0,1,1,A01
200600060591,0,7,0,0,2,2,12,B01
200600019666,0,7,0,0,2,7,9,A01
200600022494,0,7,0,0,2,3,15,B01
200600071429,0,30,0,0,2,1,0,B02
200600004777,0,7,0,0,1,2,1,A01
200600042267,0,33,0,0,2,1,2,A01
200600019499,0,7,0,0,2,2,0,A01
200600030290,0,7,0,0,2,4,21,B02
200600042174,0,7,0,0,2,4,4,A01
200600064101,0,7,0,0,2,3,1,B01
200600008541,0,7,0,0,2,1,13,A01
200600031342,0,7,0,15,0,1,13,A01
200600080077,0,30,0,0,2,8,11,A01
200600070786,0,15,0,0,9,6,1,C01
200600023824,0,7,0,0,2,8,15,B02
200600010394,0,7,0,12,0,9,0,A01
200600065783,0,7,0,0,0,4,23,B01
200600030240,0,7,0,0,2,1,19,A01
200600021425,0,4,0,0,2,1,1,B01
200600051475,0,1,0,0,2,4,23,B02
200600039281,0,7,0,12,0,0,2,B01
200600011958,0,7,0,0,2,1,1,B01
200600041606,0,7,0,0,0,1,0,A01
200600061048,0,7,0,0,2,1,1,B01
200600001708,0,7,0,0,2,1,15,A01
200600035402,0,7,0,0,1,8,1,A01
200600033042,0,7,0,0,2,3,1,B01
200600036333,0,7,0,0,2,1,15,B01
200600011554,1,7,0,0,1,0,0,A01
200600058760,0,2,0,0,2,1,1,B02
200600048431,0,7,0,6,0,7,21,C01
200600060516,0,31,0,8,0,3,1,A01
200600014597,0,5,0,0,2,7,18,A01
200600071377,0,7,0,0,2,4,1,B02
200600073834,0,30,0,0,2,1,1,B02
200600080837,0,7,0,0,1,2,0,A01
200600043270,0,7,0,0,5,1,1,A01
200600032163,0,10,0,0,2,2,2,D04
200600047453,2,7,0,0,2,3,1,B01
200600053565,0,7,0,0,2,1,1,A01
200600053541,0,7,0,0,2,1,1,B01
200600016502,0,7,0,0,2,3,13,A01
200600044307,0,7,0,0,2,3,1,B02
200600032817,0,99,0,0,2,5,0,B01
200600047832,0,7,0,0,2,6,2,B01
200600065185,0,7,0,0,2,0,13,A01
200600009960,0,7,0,13,0,0,0,A01
200600062859,0,7,0,0,2,2,12,A01
200600049947,0,32,0,0,2,1,16,B01
200600010607,0,7,0,0,2,4,11,C01
200600017498,0,7,0,0,2,1,1,B02
200600069167,0,7,0,1,2,2,9,A01
200600027709,0,7,0,1,2,3,1,B01
200600079889,0,7,0,0,2,4,1,C01
200600046190,0,1,0,0,2,1,13,B02
200600042832,0,7,0,0,2,5,15,A01
200600059621,0,30,0,0,2,6,19,C03
200600009880,0,7,0,0,0,3,19,A01
200600062864,0,1,0,0,2,8,1,B01
200600045547,0,7,0,0,2,1,1,B02
200600059581,0,14,0,15,0,1,13,A01
200600057120,0,7,0,0,2,6,1,B01
200600004649,0,7,0,0,2,8,24,C03
200600077053,0,7,0,0,2,3,15,A01
200600075557,0,7,0,1,0,1,0,A01
200600014962,0,4,0,0,5,1,1,B01
200600060546,0,7,0,0,2,2,1,B01
200600030086,0,7,0,0,2,2,17,B02
200600060130,0,7,0,0,0,5,15,A01
200600012234,0,7,0,0,2,1,15,A01
200600043936,0,7,0,0,9,3,1,B02
200600003994,0,7,0,0,2,6,2,A01
200600005887,0,17,0,0,2,1,1,B02
200600050733,0,2,0,0,2,8,1,A01
200600053775,0,7,0,0,2,6,23,A01
200600023190,0,7,0,0,2,3,1,B01
200600078474,0,7,0,1,0,1,2,B01
200600068271,0,7,0,0,0,0,1,A01
200600068665,0,10,0,0,2,1,1,A01
200600078519,0,33,0,0,2,3,21,B01
200600071031,0,7,0,0,2,4,2,C01
200600057766,0,7,0,0,2,7,1,B01
200600058436,0,7,0,0,2,1,1,B02
200600051206,0,7,0,0,2,1,9,A01
200600023174,0,33,0,0,0,4,1,A01
200600068904,0,7,0,0,2,1,1,A01
200600019008,0,7,0,0,2,1,13,A01
200600013178,0,7,0,0,2,1,1,B01
200600009141,0,7,0,0,1,1,1,A01
200600058550,0,7,0,0,0,7,15,A01
200600038509,0,1,0,0,2,1,1,B01
200600034805,0,7,0,0,2,4,1,B01
200600008149,0,7,0,1,2,1,13,B01
200600025941,0,7,0,0,2,4,1,C01
200600044354,0,33,0,0,2,3,1,B02
200600063569,0,5,0,0,2,3,1,B01
200600052954,0,7,0,0,2,1,0,A01
200600032190,0,7,0,0,0,0,19,B02
200600065689,0,32,0,6,0,8,13,A01
200600069932,0,7,0,0,2,2,1,A01
200600066956,0,7,0,0,2,2,20,A01
200600045464,0,7,0,13,0,3,1,A01
200600052715,0,7,0,4,0,3,13,A01
200600034136,0,2,0,0,2,1,1,B01
200600024789,0,30,0,8,0,0,1,A01
200600039159,0,15,0,0,2,1,11,B01
200600072091,0,31,0,8,6,5,21,A01
200600050568,0,5,0,3,0,1,19,A01
200600050050,0,7,0,15,0,1,0,A01
200600019527,0,7,0,0,2,4,23,B01
200600078763,0,33,0,15,2,1,1,B01
200600011928,0,7,0,0,2,4,1,B01
200600040249,0,2,0,0,2,3,18,A01
200600061945,0,33,0,0,2,1,13,A01
200600016302,0,7,0,0,2,1,15,B02
200600001205,0,7,0,0,2,1,1,B01
200600042335,0,7,0,0,9,1,19,A01
